code,category,source_sheet,name_ru,name_ru_alt,name_cn,name_en,standard_hours
KAMAZ5320_4_2_1_1_001A,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Двигатель: снять без коробки передач при помощи подъемного механизма,электротехнические работы,,,0.38
KAMAZ5320_4_2_1_1_001B,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Двигатель: снять без коробки передач при помощи подъемного механизма,слесарные работы,,,5.10
KAMAZ5320_4_2_1_1_002A,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Двигатель: установить без коробки передач при помощи подъемного механизма,электротехнические работы,,,0.52
KAMAZ5320_4_2_1_1_002B,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Двигатель: установить без коробки передач при помощи подъемного механизма,слесарные работы,,,6.10
KAMAZ5320_4_2_1_1_003A,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Двигатель с делителем и коробкой передач в сборе: снять при помощи подъемного механизма,электротехнические работы,,,0.40
KAMAZ5320_4_2_1_1_003B,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Двигатель с делителем и коробкой передач в сборе: снять при помощи подъемного механизма,слесарные работы,,,3.55
KAMAZ5320_4_2_1_1_004A,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Двигатель с делителем и коробкой передач в сборе: установить при помощи подъемного механизма,электротехнические работы,,,0.47
KAMAZ5320_4_2_1_1_004B,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Двигатель с делителем и коробкой передач в сборе: установить при помощи подъемного механизма,слесарные работы,,,5.10
KAMAZ5320_4_2_1_1_005,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Головка цилиндров: снять и установить,,,,0.80
KAMAZ5320_4_2_1_1_006,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Головка цилиндров: очистить от нагара и промыть снятую,,,,0.10
KAMAZ5320_4_2_1_1_007,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Головка цилиндров: заменить шпильку при снятой головке цилиндров,,,,0.10
KAMAZ5320_4_2_1_1_008,4.2.1.1 Двигатель,4.2.1.1 Двигатель,"Головка цилиндров: высверлить сломанную шпильку, нарезать резьбу и ввернуть новую",,,,0.32
KAMAZ5320_4_2_1_1_009,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Головка цилиндров: подтянуть гайки,,,,0.17
KAMAZ5320_4_2_1_1_010,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Втулка клапана направляющая: заменить при снятой головке цилиндров,,,,0.13
KAMAZ5320_4_2_1_1_011,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Клапаны: очистить снятые клапаны от нагара,,,,0.27
KAMAZ5320_4_2_1_1_012,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Клапаны: притереть при снятой головке цилиндров,,,,2.60
KAMAZ5320_4_2_1_1_013,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Клапаны: отрегулировать зазор между носками коромысел и торцами стержней,,,,0.55
KAMAZ5320_4_2_1_1_014,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Клапаны: снять и установить коромысла клапанов вместе с валами и штангами,,,,0.93
KAMAZ5320_4_2_1_1_015,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Пружина клапана: заменить при снятой головке цилиндров,,,,0.05
KAMAZ5320_4_2_1_1_016,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Поршень с шатуном: снять и установить при снятой головке цилиндров и масляном картере,,,,0.23
KAMAZ5320_4_2_1_1_017,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Поршень: очистить снятый поршень от нагара,,,,0.09
KAMAZ5320_4_2_1_1_018,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Кольца поршневые: заменить с подгонкой по канавкам поршней и по цилиндрам с припиловкой замков,,,,6.20
KAMAZ5320_4_2_1_1_019A,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Подшипники двигателя: заменить вкладыши шатунных подшипников с регулировкой,,,,1.85
KAMAZ5320_4_2_1_1_019B,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Подшипники двигателя: заменить вкладыши коренных подшипников с регулировкой,,,,2.00
KAMAZ5320_4_2_1_1_020,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Поддон картера двигателя: снять и установить,,,,0.50
KAMAZ5320_4_2_1_1_021,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Поддон картера двигателя: очистить и промыть,,,,0.17
KAMAZ5320_4_2_1_1_022,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Насос масляный с маслоприемником: снять и установить при снятом поддоне картера двигателя,,,,0.23
KAMAZ5320_4_2_1_1_023,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Маслоприемник: снять и установить с очисткой и мойкой,,,,0.17
KAMAZ5320_4_2_1_1_024,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Магистраль масляная: отвернуть пробки и продуть сжатым воздухом масляные каналы в блоке,,,,0.35
KAMAZ5320_4_2_1_1_025,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Радиатор масляный: снять и установить,,,,0.36
KAMAZ5320_4_2_1_1_026,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Сапун вентиляции картера: заменить,,,,0.23
KAMAZ5320_4_2_1_1_027,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Фильтр масляный тонкой очистки: заменить фильтрующий элемент,,,,0.08
KAMAZ5320_4_2_1_1_028,4.2.1.1 Двигатель,4.2.1.1 Двигатель,"Фильтр центробежной очистки масла: снять, промыть и установить",,,,0.40
KAMAZ5320_4_2_1_1_030,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Радиатор: снять и установить,,,,1.09
KAMAZ5320_4_2_1_1_031,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Крышка двигателя передняя: снять и установить при снятом радиаторе,,,,0.30
KAMAZ5320_4_2_1_1_032,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Подушка передней опоры двигателя: снять и установить,,,,0.82
KAMAZ5320_4_2_1_1_033,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Шкив вентилятора: заменить при снятом радиаторе,,,,0.25
KAMAZ5320_4_2_1_1_034,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Крыльчатка вентилятора: снять и установить при снятом радиаторе,,,,0.10
KAMAZ5320_4_2_1_1_035,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Вентилятор: снять и установить при снятом радиаторе,,,,0.18
KAMAZ5320_4_2_1_1_036,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Ремень привода вентилятора: заменить с регулировкой натяжения,,,,0.17
KAMAZ5320_4_2_1_1_037,4.2.1.1 Двигатель,4.2.1.1 Двигатель,"Гидромуфта привода вентилятора: снять, разобрать на детали при снятом радиаторе",,,,0.35
KAMAZ5320_4_2_1_1_038,4.2.1.1 Двигатель,4.2.1.1 Двигатель,"Гидромуфта привода вентилятора: заменить изношенные детали, собрать и установить",,,,0.30
KAMAZ5320_4_2_1_1_039,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Насос водяной: снять и установить при снятом радиаторе,,,,0.78
KAMAZ5320_4_2_1_1_040A,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Шланг водяного патрубка: заменить верхний,,,,0.18
KAMAZ5320_4_2_1_1_040B,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Шланг водяного патрубка: заменить нижний,,,,0.25
KAMAZ5320_4_2_1_1_041,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Термостат: заменить,,,,0.27
KAMAZ5320_4_2_1_1_042,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Компрессор: снять и установить,,,,0.68
KAMAZ5320_4_2_1_1_043A,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Ремень привода компрессора: заменить с регулировкой натяжения,,,,0.15
KAMAZ5320_4_2_1_1_043B,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Ремень привода водяного насоса: заменить с регулировкой натяжения,,,,0.15
KAMAZ5320_4_2_1_1_043C,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Ремень привода генератора: заменить с регулировкой натяжения,,,,0.15
KAMAZ5320_4_2_1_1_044,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Трубка компрессора: заменить трубку отвода или подвода масла,,,,0.23
KAMAZ5320_4_2_1_1_045,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Шкив коленчатого вала компрессора: заменить при снятом радиаторе,,,,0.18
KAMAZ5320_4_2_1_1_046,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Сальник коленчатого вала компрессора передний: заменить,,,,2.50
KAMAZ5320_4_2_1_1_047,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Картер сцепления: снять и установить при снятой коробке передач,,,,1.30
KAMAZ5320_4_2_1_1_048,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Маховик: снять и установить при снятой коробке передач и сцеплении,,,,0.27
KAMAZ5320_4_2_1_1_049,4.2.1.1 Двигатель,4.2.1.1 Двигатель,Болт заднего крепления двигателя: заменить,,,,0.37
KAMAZ5320_4_2_1_2_058,4.2.1.2 Сцепление,4.2.1.2 Сцепление,Сцепление: снять и установить при снятой коробке передач,,,,0.87
KAMAZ5320_4_2_1_2_059,4.2.1.2 Сцепление,4.2.1.2 Сцепление,Сцепление: отрегулировать при снятой коробке передач,,,,0.66
KAMAZ5320_4_2_1_2_060,4.2.1.2 Сцепление,4.2.1.2 Сцепление,Усилитель привода управления сцеплением пневматический: снять и установить,,,,0.56
KAMAZ5320_4_2_1_2_061,4.2.1.2 Сцепление,4.2.1.2 Сцепление,Усилитель привода управления сцеплением пневматический: отрегулировать зазор между штоком и поводком золотника,,,,0.12
KAMAZ5320_4_2_1_2_062,4.2.1.2 Сцепление,4.2.1.2 Сцепление,Педаль сцепления: снять и установить,,,,0.32
KAMAZ5320_4_2_1_2_063,4.2.1.2 Сцепление,4.2.1.2 Сцепление,Педаль сцепления: отрегулировать свободный ход,,,,0.28
KAMAZ5320_4_2_1_2_064,4.2.1.2 Сцепление,4.2.1.2 Сцепление,Пружина педали сцепления оттяжная: заменить,,,,0.10
KAMAZ5320_4_2_1_2_066,4.2.1.2 Сцепление,4.2.1.2 Сцепление,Втулка оси педали сцепления: заменить,,,,0.08
KAMAZ5320_4_2_1_3_068,4.2.1.3 Коробка передач,4.2.1.3 Коробка передач,Коробка передач: снять и установить при помощи приспособления,,,,4.10
KAMAZ5320_4_2_1_3_069,4.2.1.3 Коробка передач,4.2.1.3 Коробка передач,Коробка передач в сборе с делителем: снять и установить при снятых щитах пола кузова,,,,7.25
KAMAZ5320_4_2_1_3_070,4.2.1.3 Коробка передач,4.2.1.3 Коробка передач,Крышка коробки передач верхняя: снять и установить,,,,0.82
KAMAZ5320_4_2_1_3_071,4.2.1.3 Коробка передач,4.2.1.3 Коробка передач,Механизм управления переключением передач: снять и установить,,,,0.46
KAMAZ5320_4_2_1_3_072,4.2.1.3 Коробка передач,4.2.1.3 Коробка передач,Рычаг переключения передач: снять и установить,,,,0.33
KAMAZ5320_4_2_1_3_073,4.2.1.3 Коробка передач,4.2.1.3 Коробка передач,Вилка переключения передач: заменить при снятой верхней крышке коробки передач,,,,0.18
KAMAZ5320_SUM_ENGINE_DISASSEMBLY,Сводная ведомость,Сводная ведомость,Двигатель: разборка,,,,8.70
KAMAZ5320_SUM_ENGINE_CLEANING,Сводная ведомость,Сводная ведомость,"Двигатель: очистка, мойка, разбраковка и комплектовка",,,,5.35
KAMAZ5320_SUM_ENGINE_REPAIR_ASSEMBLY,Сводная ведомость,Сводная ведомость,"Двигатель: разборка, ремонт и сборка узлов",,,,16.99
KAMAZ5320_SUM_ENGINE_ASSEMBLY,Сводная ведомость,Сводная ведомость,Двигатель: сборка,,,,13.68
KAMAZ5320_SUM_ENGINE_TEST,Сводная ведомость,Сводная ведомость,"Двигатель: обкатка, испытание и регулировка",,,,11.50
KAMAZ5320_SUM_CLUTCH_DISASSEMBLY,Сводная ведомость,Сводная ведомость,Сцепление: разборка,,,,0.54
KAMAZ5320_SUM_CLUTCH_CLEANING,Сводная ведомость,Сводная ведомость,"Сцепление: очистка, мойка, разбраковка и комплектовка",,,,0.38
KAMAZ5320_SUM_CLUTCH_ASSEMBLY,Сводная ведомость,Сводная ведомость,Сцепление: сборка с переклепкой ведомого диска,,,,1.54
KAMAZ5320_SUM_GEARBOX_DISASSEMBLY,Сводная ведомость,Сводная ведомость,Коробка передач: разборка,,,,1.13
KAMAZ5320_SUM_GEARBOX_CLEANING,Сводная ведомость,Сводная ведомость,"Коробка передач: очистка, мойка, разбраковка и комплектовка",,,,0.55
KAMAZ5320_SUM_GEARBOX_REPAIR_ASSEMBLY,Сводная ведомость,Сводная ведомость,"Коробка передач: разборка, ремонт и сборка узлов",,,,1.54
KAMAZ5320_SUM_GEARBOX_ASSEMBLY_TEST,Сводная ведомость,Сводная ведомость,Коробка передач: сборка и испытание,,,,2.30
KAMAZ5320_SUM_SPLITTER_DISASSEMBLY,Сводная ведомость,Сводная ведомость,Делитель: разборка,,,,0.54
KAMAZ5320_SUM_SPLITTER_CLEANING,Сводная ведомость,Сводная ведомость,"Делитель: очистка, мойка, разбраковка и комплектовка",,,,0.29
KAMAZ5320_SUM_SPLITTER_REPAIR_ASSEMBLY,Сводная ведомость,Сводная ведомость,"Делитель: разборка, ремонт и сборка узлов",,,,1.07
KAMAZ5320_SUM_SPLITTER_ASSEMBLY,Сводная ведомость,Сводная ведомость,Делитель: сборка,,,,0.77
